"source","variant","age_band","age_from","age_to","living_arrangement","payment_category","payment_category_share","income_lower","income_upper","weighted_mean_income","income_bin_share","weighted_n","base_income_year","income_growth_default","caveat_flags"
"IRD taxable income, MSD OIA payment mix, Stats NZ living-arrangement age gradient","statsnz_age_msd_calibrated_clipped","70-74",70,75,"couple","couple",0.673082544300129,150000,250000,215238.808475836,0.023501659968548,0.0158185570869067,2024,"wage","public_source_proxy;taxable_income;payment_category_independence;negative_residuals_clipped"
"IRD taxable income, MSD OIA payment mix, Stats NZ living-arrangement age gradient","statsnz_age_msd_calibrated_clipped","70-74",70,75,"couple","couple",0.673082544300129,250000,Inf,0,0,0,2024,"wage","public_source_proxy;taxable_income;payment_category_independence;negative_residuals_clipped"
"IRD taxable income, MSD OIA payment mix, Stats NZ living-arrangement age gradient","statsnz_age_msd_calibrated_clipped","70-74",70,75,"single_living_alone","single_living_alone",0.219549402146842,0,500,75.0610770256752,0.524025860562642,0.115049564396012,2024,"wage","public_source_proxy;taxable_income;payment_category_independence;negative_residuals_clipped"
"IRD taxable income, MSD OIA payment mix, Stats NZ living-arrangement age gradient","statsnz_age_msd_calibrated_clipped","70-74",70,75,"single_living_alone","single_living_alone",0.219549402146842,500,1000,0,0,0,2024,"wage","public_source_proxy;taxable_income;payment_category_independence;negative_residuals_clipped"
"IRD taxable income, MSD OIA payment mix, Stats NZ living-arrangement age gradient","statsnz_age_msd_calibrated_clipped","70-74",70,75,"single_living_alone","single_living_alone",0.219549402146842,1000,2000,1409.66,0.0244190110082125,0.00536117926787019,2024,"wage","public_source_proxy;taxable_income;payment_category_independence;negative_residuals_clipped"
"IRD taxable income, MSD OIA payment mix, Stats NZ living-arrangement age gradient","statsnz_age_msd_calibrated_clipped","70-74",70,75,"single_living_alone","single_living_alone",0.219549402146842,2000,5000,3330.9330318258,0.0521579591123537,0.0114512487403167,2024,"wage","public_source_proxy;taxable_income;payment_category_independence;negative_residuals_clipped"
"IRD taxable income, MSD OIA payment mix, Stats NZ living-arrangement age gradient","statsnz_age_msd_calibrated_clipped","70-74",70,75,"single_living_alone","single_living_alone",0.219549402146842,5000,10000,7271.95749631811,0.0593220338983051,0.0130241170765076,2024,"wage","public_source_proxy;taxable_income;payment_category_independence;negative_residuals_clipped"
"IRD taxable income, MSD OIA payment mix, Stats NZ living-arrangement age gradient","statsnz_age_msd_calibrated_clipped","70-74",70,75,"single_living_alone","single_living_alone",0.219549402146842,10000,15000,12310.969164149,0.0433775991612791,0.00952352596242415,2024,"wage","public_source_proxy;taxable_income;payment_category_independence;negative_residuals_clipped"
"IRD taxable income, MSD OIA payment mix, Stats NZ living-arrangement age gradient","statsnz_age_msd_calibrated_clipped","70-74",70,75,"single_living_alone","single_living_alone",0.219549402146842,15000,20000,17358.7929479769,0.0377861261576097,0.00829592140734833,2024,"wage","public_source_proxy;taxable_income;payment_category_independence;negative_residuals_clipped"
"IRD taxable income, MSD OIA payment mix, Stats NZ living-arrangement age gradient","statsnz_age_msd_calibrated_clipped","70-74",70,75,"single_living_alone","single_living_alone",0.219549402146842,20000,30000,24536.9868312102,0.054866328848506,0.0120458696966815,2024,"wage","public_source_proxy;taxable_income;payment_category_independence;negative_residuals_clipped"
