"year","age","sex","population"
2048,60,"female",42406.4127906935
2048,61,"female",40183.7007403272
2048,62,"female",38548.0735101075
2048,63,"female",37855.8169565933
2048,64,"female",36473.4483729624
2048,65,"female",35653.5727726087
2048,66,"female",34459.2000028284
2048,67,"female",33083.4816732382
2048,68,"female",32194.3224983184
2048,69,"female",31377.8963045113
2048,70,"female",30035.7507240175
2048,71,"female",29816.5004497272
2048,72,"female",29185.7925855103
2048,73,"female",29944.3559263299
2048,74,"female",30594.741254558
2048,75,"female",31001.3944125886
2048,76,"female",31352.8729332618
2048,77,"female",31230.7985784885
2048,78,"female",29410.9106086053
2048,79,"female",28793.3702916067
2048,80,"female",27474.4002698602
2048,81,"female",26367.3154497137
2048,82,"female",24903.7835050137
2048,83,"female",24274.8483903275
2048,84,"female",23868.4221965203
2048,85,"female",23099.8859718868
2048,86,"female",21535.7372623402
2048,87,"female",19404.0063743022
2048,88,"female",17073.8451063077
2048,89,"female",15217.1456143893
2048,90,"female",13089.4195952482
2048,91,"female",11098.9850291425
2048,92,"female",9237.36617122131
2048,93,"female",7444.19862400294
2048,94,"female",5890.66667930289
2048,95,"female",15994.5002292454
2049,0,"female",33724.2432281273
2049,1,"female",33820.0941818649
2049,2,"female",34016.4768523301
2049,3,"female",34237.5402857855
2049,4,"female",34490.9441007359
2049,5,"female",34697.6734109188
2049,6,"female",34901.7156998891
2049,7,"female",35398.7306351748
2049,8,"female",35536.3902536798
2049,9,"female",35650.43254265
2049,10,"female",35831.0069732319
2049,11,"female",35960.2617419199
2049,12,"female",36185.5789091967
2049,13,"female",36324.5154757413
2049,14,"female",36645.7903540478
2049,15,"female",32663.2667519566
2049,16,"female",32962.1526287651
2049,17,"female",33259.328548282
2049,18,"female",33468.235355837
2049,19,"female",33656.8688652806
2049,20,"female",33756.3348437508
2049,21,"female",33800.8688815255
2049,22,"female",33870.707613531
2049,23,"female",33999.3829844675
2049,24,"female",34253.3002573956
2049,25,"female",34395.1666513482
2049,26,"female",34848.0818312017
2049,27,"female",38131.3404777905
2049,28,"female",38528.4043671906
2049,29,"female",39078.6567345554
2049,30,"female",40081.1067584242
2049,31,"female",40675.0732692299
2049,32,"female",41906.0544315582
2049,33,"female",42038.4931838132
2049,34,"female",43043.2795889527
2049,35,"female",43470.1848827335
2049,36,"female",44843.3314992055
2049,37,"female",45334.6770590154
2049,38,"female",45686.5692150479
2049,39,"female",46069.8487923831
2049,40,"female",45393.01429267
2049,41,"female",46279.1179504882
2049,42,"female",45457.2467252022
2049,43,"female",43570.0917364316
2049,44,"female",43044.4645062119
2049,45,"female",43038.7911981079
2049,46,"female",42204.7126571853
2049,47,"female",42264.8246873021
2049,48,"female",42927.0320029386
2049,49,"female",43204.5932506837
2049,50,"female",41589.4571601013
2049,51,"female",42571.3000782562
2049,52,"female",42802.2110719604
2049,53,"female",42886.6749411111
2049,54,"female",43827.1095072168
2049,55,"female",44041.8702180531
2049,56,"female",45214.4911690489
2049,57,"female",45567.1121200448
2049,58,"female",45913.7414433392
2049,59,"female",45117.315249532
2049,60,"female",43426.4127906935
2049,61,"female",42423.7007403272
2049,62,"female",40188.0735101075
2049,63,"female",38555.8169565933
2049,64,"female",37823.4483729624
2049,65,"female",36403.5727726087
2049,66,"female",35579.2000028284
2049,67,"female",34383.4816732382
2049,68,"female",32984.3224983184
2049,69,"female",32087.8963045113
2049,70,"female",31235.7507240175
2049,71,"female",29886.5004497272
2049,72,"female",29635.7925855103
2049,73,"female",28994.3559263299
2049,74,"female",29714.741254558
2049,75,"female",30311.3944125886
2049,76,"female",30682.8729332618
2049,77,"female",30970.7985784885
2049,78,"female",30790.9106086053
2049,79,"female",28933.3702916067
2049,80,"female",28244.4002698602
2049,81,"female",26847.3154497137
2049,82,"female",25663.7835050137
2049,83,"female",24144.8483903275
2049,84,"female",23378.4221965203
2049,85,"female",22809.8859718868
2049,86,"female",21895.7372623402
2049,87,"female",20184.0063743022
2049,88,"female",17973.8451063077
2049,89,"female",15587.1456143893
2049,90,"female",13669.4195952482
2049,91,"female",11538.9850291425
2049,92,"female",9577.36617122131
2049,93,"female",7794.19862400294
2049,94,"female",6130.66667930289
2049,95,"female",16724.5002292454
2050,0,"female",33684.2432281273
2050,1,"female",33800.0941818649
2050,2,"female",34016.4768523301
2050,3,"female",34277.5402857855
2050,4,"female",34550.9441007359
2050,5,"female",34797.6734109188
2050,6,"female",35041.7156998891
2050,7,"female",35578.7306351748
2050,8,"female",35736.3902536798
2050,9,"female",35880.43254265
2050,10,"female",36071.0069732319
2050,11,"female",36210.2617419199
2050,12,"female",36415.5789091967
2050,13,"female",36534.5154757413
2050,14,"female",36825.7903540478
2050,15,"female",32813.2667519566
2050,16,"female",33072.1526287651
2050,17,"female",33339.328548282
2050,18,"female",33528.235355837
2050,19,"female",33696.8688652806
2050,20,"female",33786.3348437508
2050,21,"female",33830.8688815255
2050,22,"female",33910.707613531
2050,23,"female",34059.3829844675
2050,24,"female",34353.3002573956
2050,25,"female",34975.1666513482
2050,26,"female",35058.0818312017
2050,27,"female",35601.3404777905
2050,28,"female",38898.4043671906
2050,29,"female",39298.6567345554
2050,30,"female",39831.1067584242
2050,31,"female",40785.0732692299
2050,32,"female",41376.0544315582
2050,33,"female",42588.4931838132
2050,34,"female",42693.2795889527
2050,35,"female",43630.1848827335
2050,36,"female",44083.3314992055
2050,37,"female",45424.6770590154
2050,38,"female",45866.5692150479
2050,39,"female",46179.8487923831
2050,40,"female",46473.01429267
2050,41,"female",45779.1179504882
2050,42,"female",46637.2467252022
2050,43,"female",45770.0917364316
2050,44,"female",43814.4645062119
2050,45,"female",43198.7911981079
2050,46,"female",43164.7126571853
2050,47,"female",42274.8246873021
2050,48,"female",42287.0320029386
2050,49,"female",42904.5932506837
2050,50,"female",43149.4571601013
2050,51,"female",41541.3000782562
2050,52,"female",42512.2110719604
2050,53,"female",42756.6749411111
2050,54,"female",42827.1095072168
2050,55,"female",43801.8702180531
2050,56,"female",44014.4911690489
2050,57,"female",45197.1121200448
2050,58,"female",45563.7414433392
2050,59,"female",45937.315249532
2050,60,"female",45136.4127906935
2050,61,"female",43443.7007403272
2050,62,"female",42438.0735101075
2050,63,"female",40195.8169565933
2050,64,"female",38523.4483729624
2050,65,"female",37763.5727726087
2050,66,"female",36339.2000028284
2050,67,"female",35503.4816732382
2050,68,"female",34284.3224983184
2050,69,"female",32867.8963045113
2050,70,"female",31945.7507240175
2050,71,"female",31076.5004497272
2050,72,"female",29705.7925855103
2050,73,"female",29444.3559263299
2050,74,"female",28774.741254558
2050,75,"female",29451.3944125886
2050,76,"female",30002.8729332618
2050,77,"female",30320.7985784885
2050,78,"female",30550.9106086053
2050,79,"female",30293.3702916067
2050,80,"female",28384.4002698602
2050,81,"female",27607.3154497137
2050,82,"female",26143.7835050137
2050,83,"female",24894.8483903275
2050,84,"female",23258.4221965203
2050,85,"female",22359.8859718868
2050,86,"female",21635.7372623402
2050,87,"female",20534.0063743022
2050,88,"female",18713.8451063077
2050,89,"female",16427.1456143893
2050,90,"female",14009.4195952482
2050,91,"female",12048.9850291425
2050,92,"female",9967.36617122131
2050,93,"female",8094.19862400294
2050,94,"female",6430.66667930289
2050,95,"female",17494.5002292454
2051,0,"female",33624.2432281273
2051,1,"female",33760.0941818649
2051,2,"female",33996.4768523301
2051,3,"female",34277.5402857855
2051,4,"female",34590.9441007359
2051,5,"female",34867.6734109188
2051,6,"female",35141.7156998891
2051,7,"female",35718.7306351748
2051,8,"female",35916.3902536798
2051,9,"female",36090.43254265
2051,10,"female",36301.0069732319
2051,11,"female",36450.2617419199
2051,12,"female",36665.5789091967
